name,category,price,historical_sold,shop_location,cmt_count,one_star_rating,two_star_rating,three_star_rating,four_star_rating,five_star_rating
[Mã FMCGMALL -8% đơn 250K] Sữa đặc Vinamilk Ngôi sao Phương Nam xanh lá- 1284g,bach_hoa,64000.0,8683,TP. Hồ Chí Minh,1357,9,2,9,15,1322
Đào Ngâm Hongqiao (Hồng Kiều) Lon 425gr,bach_hoa,25000.0,4335,TP. Hồ Chí Minh,492,3,0,0,9,480
Bột nổi/ baking powder Alsa,bach_hoa,10000.0,3982,TP. Hồ Chí Minh,457,1,4,1,5,447
[100% Gạo Lứt ❤️] Bún gạo lứt đỏ thực dưỡng Eat Clean ❤️  Phở gạo lứt  đỏ    - Đơn  50k freeship Extra được 20k,bach_hoa,26000.0,68584,Hà Nội,9770,4,4,20,109,9633
Đặc sản Bún gạo lứt Hoàng Minh 500gr,bach_hoa,24500.0,32090,TP. Hồ Chí Minh,5594,2,3,4,51,5534
Đậu Hủ Phô Mai Tươi Viên Thả Lẩu Malaysia Đậu Hũ Cá Phô Mai EB,bach_hoa,90000.0,10596,TP. Hồ Chí Minh,2781,0,0,5,11,2766
[Sỉ và lẻ] Đường ăn kiêng Splenda combo 100 gói cho người bệnh tiểu đường,bach_hoa,179000.0,15946,TP. Hồ Chí Minh,4151,1,2,7,36,4102
[HSD 03/2023] Ngũ cốc Calbee ăn kiêng giảm cân Nhật Bản với đủ vị ngon tuyệt- mix hoa quả trái cây sữa chua dùng ăn sáng,bach_hoa,119450.0,130281,TP. Hồ Chí Minh,39250,42,31,96,476,38608
1 GÓI Bột pha nước trái cây không đường Great Value giống Crystal Light,bach_hoa,8500.0,22407,TP. Hồ Chí Minh,1317,0,1,1,6,1309
Bún nưa Mì nưa Miến nưa Phở nưa Cơm nưa Đậu nưa Vị Nguyên,bach_hoa,20750.0,56476,TP. Hồ Chí Minh,3895,1,1,11,36,3842
[Combo đủ loại] Bột Nguyên liệu hữu cơ làm bánh cho bé ăn dặm,bach_hoa,47000.0,14861,TP. Hồ Chí Minh,2559,1,1,1,11,2545
Garlic Bột Tỏi ướp thịt thơm ngon siêu sạch tăng sức đề kháng 500g,bach_hoa,39500.0,17938,TP. Hồ Chí Minh,5690,4,6,17,47,5616
Gia Vị Lẩu Haidilao Thượng Hạng Cốt Lẩu Haidilao Hot Pot Đủ Vị,bach_hoa,51500.0,40750,TP. Hồ Chí Minh,5599,3,2,19,47,5529
Granola siêu Hạt \u0026 Quả NOFA 600gr,bach_hoa,115000.0,144449,Hà Nội,41474,40,41,199,655,40539
Yến mạch giảm cân Cán Dẹt \u0026 Cán Vỡ Hafer Flocken 500gr,bach_hoa,18900.0,95887,Hà Nội,33452,22,27,104,457,32843
Hồng Trà Pha Trà Sữa Túi Lọc Tân Nam Bắc Gói 10 Túi (TNB Lọc),bach_hoa,28000.0,30028,TP. Hồ Chí Minh,3977,5,3,10,35,3911
Đường phèn mật mía kết tinh nguyên bản 100gr,bach_hoa,15000.0,13983,Hà Nội,1758,1,2,7,18,1730
Gạo lứt đen giảm cân Be Fresco VN,bach_hoa,40000.0,24895,Bình Dương,4733,4,2,17,45,4665
Siro Syrup Thái Lan Pixie Có Đủ Các Mùi Chai 730ml,bach_hoa,60000.0,9674,TP. Hồ Chí Minh,1937,2,2,3,11,1908
100gr Sốt Tương Ớt Hàn Quốc,bach_hoa,22500.0,21755,TP. Hồ Chí Minh,5039,7,3,18,45,4965
Crystal Light 1 gói Bột Pha Nước Trái Cây Crystal Light Gói Nhỏ,bach_hoa,8950.0,43093,TP. Hồ Chí Minh,1568,2,1,5,13,1548
Hủ 100gr dùng thử! Muối nhuyễn Tây Ninh hàng loại 1 siêu cayy!,bach_hoa,19000.0,19700,TP. Hồ Chí Minh,7043,17,6,36,77,6907
Khô gà lá chanh xé cay 280g DumBum đồ ăn vặt Hà Nội,bach_hoa,62000.0,51449,Hà Nội,20539,32,21,82,248,20156
Kem béo thực vật Rich’s – hộp lùn 454g,bach_hoa,31610.0,16858,TP. Hồ Chí Minh,1642,2,1,1,9,1629
[Mã FMCGMALL -8% đơn 250K] Mật ong nguyên chất hoa cà phê Beemo,bach_hoa,109000.0,21926,TP. Hồ Chí Minh,9317,16,17,29,133,9122
Bún gạo lứt/ Phở gạo lứt/ Bún ngũ sắc thực dưỡng Eatclean,bach_hoa,27450.0,70389,Hà Nội,11227,24,8,54,146,10994
Trân Châu Đen Đài Loan Cao Cấp (1kg) - Trân Châu Caramel Ngon Hơn Trường Lạc,bach_hoa,33500.0,23045,TP. Hồ Chí Minh,7572,18,8,36,132,7378
